,Type,Well-behavedness,Formula,System,Translation,Hypothesis,CorrectAnswer
0,GGC,WB,"∀ w ( ( Dodec ( w ) ∧ ¬ ∃ x RightOf ( x , w ) ) → ∃ y LeftOf ( y , w ) )",Baseline,"For all w, if w is a dodecahedron and it is not the case that there is an element x such that x is to the right of w, then there is an element y such that y is to the left of w.","If 𝗔 is a dodecahedron, then it has something to its right or its left.",Yes
1,GGC,WB,"¬ ∃ x ∃ y ( LeftOf ( x , a ) ∧ LeftOf ( y , b ) ∧ Smaller ( x , y ) )",Baseline,It is not the case that there is an element x such that there is an element y such that x is to the left of a and y is to the left of b and x is smaller than y.,𝗖 is to the left of 𝗔 and smaller than something to the left of 𝗕.,No
2,GGC,WB,"∃ x ( Large ( x ) ∧ Cube ( x ) ∧ ∀ y ( ( Cube ( y ) ∧ Small ( y ) ) → FrontOf ( x , y ) ) )",Baseline,"There is an element x such that x is large and x is a cube and for all y, if y is a cube and y is small, then x is in front of y.",Every small cube has a large cube in front of it.,Yes
3,GGC,NWB,"∀ x ∃ y ( Dodec ( x ) → ( ∃ y ( Cube ( y ) ∧ LeftOf ( x , y ) ) → Large ( x ) ) )",Baseline,"For all x, there is an element y such that if x is a dodecahedron, then if there is an element y such that y is a cube and x is to the left of y, then x is large.",Every dodecahedron is left of a cube or large.,No
4,GGC,WB,∀ x ( Dodec ( x ) → ¬ ( Dodec ( x ) ∧ Small ( x ) ) ),Baseline,"For all x, if x is a dodecahedron, then it is not the case that x is a dodecahedron and x is small.",Dodecahedrons are not small.,Yes
5,GGC,WB,∃ x ∃ y ( Cube ( x ) ∧ Tet ( y ) ) ∧ ∀ z ( Cube ( z ) ∨ Tet ( z ) ),Baseline,"There is an element x such that there is an element y such that x is a cube and y is a tetrahedron and for all z, z is a cube or z is a tetrahedron.",There is something that is neither a cube nor a tetrahedron.,No
6,GGC,WB,"∀ y ( Dodec ( y ) → ¬ ∃ x BackOf ( x , y ) )",Baseline,"For all y, if y is a dodecahedron, then it is not the case that there is an element x such that x is in back of y.","If 𝗕 is a dodecahedron, it has nothing in back of it.",Yes
7,GGC,WB,"∃ w ( Large ( w ) ∧ Cube ( w ) ∧ RightOf ( b , w ) )",RantaI,"There is an element w such that w is large, w is a cube and b is to the right of w.",𝗕 is to the right of a cube.,Yes
8,GGC,WB,"Small ( c ) → ( RightOf ( c , a ) ∧ Small ( c ) )",RantaI,"If c is small, then c is to the right of a and small.","Only if 𝗖 is small, it is to the right of 𝗔.",No
9,GGC,WB,"∃ x ∃ y ( Cube ( x ) ∧ Cube ( y ) ∧ Large ( x ) ∧ Small ( y ) ∧ FrontOf ( x , y ) )",RantaI,"There is an element x such that there is an element y such that x is a cube, y is a cube, x is large, y is small and x is in front of y.",Every small cube has a large cube in front of it.,No
10,GGC,NWB,"∃ x ( Larger ( a , x ) ∧ Cube ( x ) ) → ¬ ∃ y ( Tet ( y ) ∧ ¬ Smaller ( a , y ) )",RantaI,"If there is an element x such that a is larger than x and x is a cube, then it is not the case that there is a tetrahedron y such that a is not smaller than y.",𝗔 is smaller than every tetrahedron if it is larger than some cube.,Yes
11,GGC,NWB,"¬ ( Larger ( b , a ) → ¬ Larger ( b , e ) )",RantaI,"It is not the case that if b is larger than a, then b is not larger than e.",𝗕 is larger than 𝗔 and 𝗘.,No
12,GGC,WB,"BackOf ( f , a ) ∨ ( ¬ BackOf ( f , a ) ∧ Smaller ( f , a ) )",RantaI,At least one of these holds : \n\t• f is in back of a \n\t• f is not in back of a and f is smaller than a.,𝗙 is smaller than 𝗔.,No
13,GGC,WB,"∃ z ( Large ( z ) ∧ Cube ( z ) ∧ BackOf ( z , c ) ∧ LeftOf ( z , b ) )",RantaI,"There is an element z such that z is large, z is a cube, z is in back of c and z is to the left of b.","Something is large, something is a cube, something is in back of 𝗖, and something is to the left of 𝗕.",Yes
14,GGC,NWB,∀ x ¬ ∃ x Cube ( x ),RantaII,Nothing is a cube.,𝗘 is not a cube.,Yes
15,GGC,WB,"∀ x ( RightOf ( a , x ) → ¬ Cube ( x ) )",RantaII,"For all cubes x, a is not to the right of x.",𝗔 is not to the right of itself.,No
16,GGC,WB,"∀ z ∃ u ( ( Dodec ( z ) ∧ ¬ RightOf ( u , z ) ) → Small ( z ) )",RantaII,"For all z, if for all u, z is a dodecahedron and u is not to the right of z, then z is small.","If 𝗙 is a dodecahedron that has nothing to its right, it is small.",Yes
17,GGC,WB,"¬ ∀ y ∀ x ( ( Tet ( x ) ∧ Tet ( y ) ) → SameCol ( x , y ) )",RantaII,"It is not the case that for all y, for all tetrahedrons x, y is not a tetrahedron or x is in the same column as y.",Every tetrahedron is in the same column as itself.,No
18,GGC,WB,"Smaller ( b , d ) ∧ Smaller ( b , e ) ∧ FrontOf ( b , d ) ∧ FrontOf ( b , e )",RantaII,"B is smaller than d, smaller than e, in front of d and in front of e.",𝗕 is smaller than and in front of 𝗗 and 𝗘.,Yes
19,GGC,WB,Tet ( c ) → ¬ Tet ( a ),RantaII,"If c is a tetrahedron, then a is not a tetrahedron.",At least one of 𝗔 and 𝗖 is a tetrahedron.,No
20,GGC,WB,"∃ x ∃ y ( Tet ( x ) ∧ Tet ( y ) ∧ ( LeftOf ( x , y ) ∨ RightOf ( x , y ) ) )",RantaII,There is an element y such that there is a tetrahedron x such that y is a tetrahedron and x is to the right of y or to the left of y.,"If 𝗖 is a tetrahedron, then it is to the left or right of a tetrahedron.",No
0,RG,WB,"∀ x ( Large ( a ) ∨ Tet ( x ) ) ∧ ∀ x ( FrontOf ( b , x ) → Student ( x ) )",Baseline,"For all x, a is large or x is a tetrahedron and for all x, if b is in front of x, then x is a student.","𝗔 is large or everything is a tetrahedron, and if 𝗕 is a student if it is in front of something.",No
1,RG,WB,¬ ( Small ( a ) ∨ Tet ( b ) ) → ∀ x Cube ( x ),Baseline,"If it is not the case that a is small or b is a tetrahedron, then for all x, x is a cube.","If 𝗔 is not small and 𝗕 not a tetrahedron, then 𝗖 is a cube.",Yes
2,RG,WB,"∃ x ( ( Larger ( x , a ) ∧ Cube ( b ) ) ∨ LeftOf ( c , c ) )",Baseline,There is an element x such that x is larger than a and b is a cube or c is to the left of c.,Something is larger than 𝗔.,No
3,RG,NWB,"∀ x ( ∃ x Even ( a ) → ∀ y BackOf ( x , x ) )",Baseline,"For all x, if there is an element x such that a is even, then for all y, x is in back of x.",𝗔 is in back of itself if it is even.,Yes
4,RG,WB,"∃ x ( ¬ RightOf ( a , x ) → ( Prime ( b ) ∧ Pet ( x ) ) )",Baseline,"There is an element x such that if it is not the case that a is to the right of x, then b is a prime and x is a pet.",Something is a pet if 𝗔 is not to its right.,Yes
5,RG,NWB,"( ¬ Adjoins ( a , b ) ∧ ¬ Small ( a ) ) ∧ ∃ x ∀ y Medium ( y )",Baseline,"It is not the case that a is adjacent to b and it is not the case that a is small and there is an element x such that for all y, y is medium.",𝗔 is neither small nor adjacent to 𝗕 and not everything is medium.,No
6,RG,NWB,( ∀ x Medium ( a ) ∧ ¬ Tet ( a ) ) ∨ ( ∃ x Student ( x ) → ∃ y Dodec ( b ) ),Baseline,"For all x, a is medium and it is not the case that a is a tetrahedron or if there is an element x such that x is a student, then there is an element y such that b is a dodecahedron.",𝗔 is not a medium tetrahedron or nothing is a student or 𝗕 is a dodecahedron.,Yes
7,RG,NWB,"( ¬ BackOf ( a , b ) → ∀ x Larger ( x , b ) ) → ∃ y ( FrontOf ( y , y ) ∨ Student ( y ) )",RantaI,"If if a is not in back of b, then for all x, x is larger than b, then there is an element y such that y is in front of itself or y is a student.","If 𝗔 is not in back of 𝗕, then everything is larger than 𝗕.",No
8,RG,NWB,"( Large ( a ) → ∀ x SameCol ( a , a ) ) → Large ( a )",RantaI,"If if a is large, then for all x, a is in the same column as itself, then a is large.",𝗔 is large if it is in the same column as itself.,Yes
9,RG,NWB,¬ ¬ Small ( a ) ∨ ( ¬ Student ( b ) → ¬ Student ( a ) ),RantaI,"At least one of these holds : \n\t• it is not the case that a is not small \n\t• if b is not a student, then a is not a student.","If 𝗔 is not small, then 𝗕 is a student or 𝗔 is not a student.",Yes
10,RG,NWB,"∃ x ¬ ¬ LeftOf ( x , a )",RantaI,There is an element x such that it is not the case that x is not to the left of a.,Something is not to the left of 𝗔.,No
11,RG,WB,"∃ x ( ( Prime ( x ) ∨ Person ( a ) ) ∧ ( SameRow ( x , b ) ∧ Student ( x ) ) )",RantaI,"There is an element x such that all these hold : \n\t• x is a prime or a is a person, x is in the same row as b \n\t• x is a student.",Something is a prime.,No
12,RG,NWB,"¬ ( ¬ Dodec ( a ) ∨ ∃ x BackOf ( x , x ) )",RantaI,It is not the case that a is not a dodecahedron or there is an element x such that x is in back of itself.,Nothing is in back of itself.,Yes
13,RG,NWB,"Medium ( a ) → ∀ x ¬ SameSize ( b , a )",RantaI,"If a is medium, then for all x, b is not of the same size as a.",𝗔 is not of the same size as 𝗕.,No
14,RG,WB,"∀ x ( ( Large ( x ) ∧ FrontOf ( a , b ) ) ∧ ¬ Large ( x ) )",RantaII,"For all x, x is large, a is in front of b and x is not large.",𝗔 is large and in front of 𝗕.,Yes
15,RG,NWB,∃ x ¬ ( Prime ( a ) ∨ Cube ( a ) ),RantaII,A is not a cube and a is not a prime.,𝗔 is a cube.,No
16,RG,NWB,Student ( a ) → ( ( Small ( b ) → Tet ( a ) ) ∧ ∀ x Person ( x ) ),RantaII,"If a is a student, then all these hold : \n\t• if b is small, then a is a tetrahedron \n\t• everything is a person.",𝗔 is a person if it is a student.,Yes
17,RG,NWB,"∀ x ∀ x ( SameSize ( x , x ) → Large ( a ) )",RantaII,Nothing is of the same size as itself or a is large.,𝗔 is large.,No
18,RG,NWB,"( ( Cube ( a ) ∧ BackOf ( a , a ) ) ∧ Even ( b ) ) → ∃ x ∀ y Smaller ( a , a )",RantaII,"If a is a cube, a is in back of itself and b is even, then a is smaller than itself.","If 𝗔 is not smaller than itself, then it is in back of itself.",Yes
19,RG,NWB,¬ ( ¬ Cube ( a ) → ( Medium ( a ) ∨ Small ( a ) ) ),RantaII,"A is not a cube, a is not small and a is not medium.",𝗔 is a cube.,No
